Net Range,Organization Name,Machines Responding
184.24.0.0 - 184.31.255.255,"Akamai Technologies, Inc.",362
168.76.0.0 - 168.76.255.255,African Network Information Center,16
192.230.64.0 - 192.230.127.255,Incapsula Inc,7
13.224.0.0 - 13.227.255.255,"Amazon.com, Inc.",203
46.33.154.0 - 46.33.154.255,Interdsl,1
44.192.0.0 - 44.223.255.255,Amazon Data Services NoVa,273
47.74.0.0 - 47.87.255.255,Alibaba Cloud LLC,6
35.184.0.0 - 35.191.255.255,Google LLC,108
104.176.0.0 - 104.191.255.255,AT&T Corp.,5
201.242.0.0/16,"CANTV Servicios, Venezuela",4
184.73.0.0 - 184.73.255.255,Amazon Data Services NoVa,12
13.126.0.0 - 13.127.255.255,Amazon Data Services India,30
3.208.0.0 - 3.223.255.255,Amazon Data Services NoVa,185
23.44.112.0 - 23.44.127.255,"Akamai International, BV",4
145.40.64.0 - 145.40.127.255,"Equinix Services, Inc.",1
159.203.0.0 - 159.203.255.255,"DigitalOcean, LLC",46
174.96.0.0 - 174.111.255.255,Charter Communications Inc,14
173.230.128.0 - 173.230.159.255,Linode,12
211.14.148.128/25,Too Corporation,1
54.242.0.0 - 54.243.255.255,Amazon Data Services NoVa,19
23.107.0.0 - 23.107.255.255,"LeaseWeb USA, Inc. Los Angeles",8
194.76.64.0 - 194.76.95.255,Kommunale Datenverarbeitung Oldenburg (KDO),1
155.94.240.0 - 155.94.255.255,"QuadraNet, Inc",5
37.35.105.184 - 37.35.105.187,AlpineDC SA,1
167.99.0.0 - 167.99.255.255,"DigitalOcean, LLC",32
77.238.65.0 - 77.238.91.255,FIBER1,4
151.3.0.0 - 151.79.255.255,WIND TRE S.P.A.,3
172.64.0.0 - 172.71.255.255,"Cloudflare, Inc.",303
156.233.0.0 - 156.233.255.255,African Network Information Center,27
121.40.0.0 - 121.43.255.255,"Alibaba (US) Technology Co., Ltd.",43
54.36.0.0 - 54.38.255.255,RIPE Network Coordination Centre,43
5.10.249.0 - 5.10.249.255,Cukman Kresimir,1
45.79.0.0 - 45.79.255.255,Linode,47
76.176.0.0 - 76.176.255.255,Charter Communications Inc,2
61.115.64.0/18,XePhion(NTT-ME Corporation),1
115.71.0.0 - 115.71.255.255,DAOU TECHNOLOGY,2
3.128.0.0 - 3.255.255.255,Amazon Technologies Inc.,185
79.90.128.0 - 79.90.191.255,LDCOM-NET,1
38.154.0.0 - 38.154.255.255,B2 Net Solutions Inc.,35
195.191.144.0 - 195.191.145.255,Stockholm IT Productions,1
88.96.5.208 - 88.96.5.215,Zen Internet Ltd,2
64.13.135.0 - 64.13.135.255,"EdgeConneX, INC",1
124.70.0.0 - 124.71.255.255,"Shenzhen,Guangdong Province, 518129 P.R.China",13
18.154.0.0 - 18.155.255.255,"Amazon.com, Inc.",133
69.46.0.0 - 69.46.31.255,"HIVELOCITY, Inc.",2
145.131.0.0 - 145.131.15.255,Argeweb BV,1
13.108.0.0 - 13.111.255.255,"Salesforce.com, Inc.",58
117.128.0.0 - 117.191.255.255,China Mobile,17
167.250.0.0 - 167.250.255.255,Latin American and Caribbean IP address Regional Registry,2
72.140.224.0 - 72.140.227.255,Rogers Data Centres,1
217.24.224.0 - 217.24.239.255,VSE NET GmbH,1
72.174.0.0 - 72.175.255.255,Charter Communications,3
18.244.0.0 - 18.245.255.255,"Amazon.com, Inc.",48
170.244.0.0 - 170.244.255.255,Latin American and Caribbean IP address Regional Registry,3
142.132.128.0 - 142.132.255.255,RIPE Network Coordination Centre,14
108.138.0.0 - 108.139.255.255,"Amazon.com, Inc.",109
96.64.0.0 - 96.124.255.255,"Comcast Cable Communications, LLC",10
162.209.0.0 - 162.209.127.255,Rackspace Hosting,6
206.110.0.0 - 206.110.255.255,Alameda County Office of Education,14
185.46.160.0 - 185.46.160.255,IPACCT Ltd.,1
134.91.0.0 - 134.110.255.255,RIPE Network Coordination Centre,8
67.227.128.0 - 67.227.255.255,"Liquid Web, L.L.C",10
18.64.0.0 - 18.67.255.255,"Amazon.com, Inc.",210
185.117.170.0 - 185.117.170.255,OptimaNet Schweiz AG,2
198.91.24.0 - 198.91.31.255,"Crucial Web Hosting, Ltd.",3
175.178.0.0 - 175.178.255.255,China Internet Network Information Center,11
172.160.0.0 - 172.191.255.255,RIPE Network Coordination Centre,13
38.11.0.0 - 38.11.127.255,PEG TECH INC,1
69.85.64.0 - 69.85.95.255,Grand Valley Internet,2
193.93.20.0 - 193.93.23.255,Exigo AG,1
104.81.112.0 - 104.81.127.255,"Akamai International, BV",5
51.136.0.0 - 51.138.255.255,Microsoft Limited,8
116.202.0.0 - 116.203.255.255,Transferred to the RIPE region on 2018-08-28T00:42:30Z.,44
76.211.64.0 - 76.222.255.255,AT&T Corp.,5
52.192.0.0 - 52.223.191.255,Amazon Technologies Inc.,197
99.84.0.0 - 99.84.255.255,"Amazon.com, Inc.",52
118.185.64.1 - 118.185.79.254,This space is statically assigned to Vodafone customer,1
54.64.0.0 - 54.95.255.255,Amazon Technologies Inc.,155
3.0.0.0 - 3.127.255.255,Amazon Technologies Inc.,173
139.218.0.0 - 139.218.255.255,Asia Pacific Network Information Centre,1
207.204.224.0 - 207.204.255.255,"Strong Technology, LLC.",4
202.222.195.0-202.222.198.255,"Hitachi Systems, Ltd.",1
136.226.0.0 - 136.226.255.255,"ZSCALER, INC.",10
195.70.197.0 - 195.70.197.255,"SU-199034, SPb, Russia",1
20.33.0.0 - 20.128.255.255,Microsoft Corporation,332
119.8.32.0 - 119.8.63.255,HUAWEI INTERNATIONAL PTE. LTD.,2
73.0.0.0 - 73.255.255.255,"Comcast Cable Communications, LLC",95
161.110.0.0 - 161.112.255.255,RIPE Network Coordination Centre,20
96.16.0.0 - 96.17.255.255,"Akamai Technologies, Inc.",71
103.86.144.0 - 103.86.147.255,"Bogor, Jawa Barat, 16166",1
82.146.48.0 - 82.146.51.255,JSC IOT,1
104.83.64.0 - 104.83.79.255,"Akamai International, BV",7
194.190.24.0 - 194.190.27.255,LLC South Networks,1
44.224.0.0 - 44.255.255.255,"Amazon.com, Inc.",126
167.172.0.0 - 167.172.255.255,RIPE Network Coordination Centre,31
193.197.228.0 - 193.197.231.255,UNI-ULM,2
78.33.26.128 - 78.33.26.191,ENTANET International Ltd,1
94.198.16.0 - 94.198.16.255,Far Eastern Branch of Russian Ac. of Science,1
99.76.128.0 - 99.76.255.255,AT&T Corp.,1
185.161.98.0 - 185.161.98.255,ALOJALIA CLOUD S.L.,1
85.214.192.0 - 85.214.255.255,Strato AG,7
164.42.0.0 - 164.42.255.255,Interamerican University of Puerto Rico,21
195.200.242.0 - 195.200.243.255,INS Consulting GmbH,1
136.228.192.0 - 136.228.255.255,"iboss,inc",4
181.0.0.0/12,Telecom Argentina S.A.,2
128.201.72.0/22,MEGA PROVEDOR - SERVICOS DE INTERNET LTDA - ME,1
128.186.0.0 - 128.186.255.255,Florida State University,2
45.142.156.0 - 45.142.157.255,Spartan Host Ltd,1
159.60.0.0 - 159.60.255.255,RIPE Network Coordination Centre,4
38.0.0.0 - 38.255.255.255,"PSINet, Inc.",359
91.121.160.0 - 91.121.175.255,"Paris, France",1
23.83.144.0 - 23.83.151.255,"LeaseWeb USA, Inc. Pheonix",2
190.174.0.0/15,Telefonica de Argentina,6
77.178.0.0 - 77.178.255.255,Telefonica Germany GmbH & Co. OHG,1
85.11.160.0 - 85.11.191.255,From Sofia Cable Company,1
43.244.191.200 - 43.244.191.207,"RYOMOSYSTEMS CO., LTD",1
185.205.84.0 - 185.205.87.255,Jakub Bartlomiej Osuch trading as Techgroup,1
34.240.0.0 - 34.247.255.255,Amazon Data Services Ireland Limited,37
178.237.96.0 - 178.237.111.255,Orange Business Services SA,1
201.86.112.128/27,STARW SERVI�OS,1
4.144.0.0 - 4.159.255.255,Microsoft Corporation,26
213.128.138.192 - 213.128.138.207,Allocated IP range,1
131.226.0.0 - 131.226.7.255,"Dwarven Holdings, LLC",2
138.100.0.0 - 138.100.255.255,RIPE Network Coordination Centre,54
149.154.64.0 - 149.154.255.255,RIPE Network Coordination Centre,2
86.68.0.0 - 86.69.255.255,LDCOM-NET,14
13.64.0.0 - 13.107.255.255,Microsoft Corporation,89
175.101.160.0 - 175.101.163.255,"AndhraPradesh,INDIA-520010",1
107.173.88.0 - 107.173.88.255,Hudson Valley Host,1
194.195.84.0 - 194.195.84.255,Hostinger International Limited,1
50.87.0.0 - 50.87.255.255,Unified Layer,25
18.231.0.0 - 18.231.255.255,Amazon Data Services Brazil,4
175.27.0.0 - 175.27.255.255,China Internet Network Information Center,2
136.144.128.0 - 136.144.255.255,RIPE Network Coordination Centre,16
34.248.0.0 - 34.255.255.255,Amazon Data Services Ireland Limited,58
38.152.128.0 - 38.152.255.255,B2 Net Solutions Inc.,30
54.184.0.0 - 54.187.255.255,"Amazon.com, Inc.",30
184.84.0.0 - 184.87.255.255,"Akamai Technologies, Inc.",168
45.93.102.0 - 45.93.102.255,Hostinger International Limited,1
46.189.0.0 - 46.189.127.255,1&1 Versatel Deutschland GmbH,1
91.149.192.0 - 91.149.255.255,Marton Media Sp. z o. o.,1
108.188.0.0 - 108.191.255.255,"Charter Communications, Inc",8
110.77.160.0 - 110.77.191.255,10 Fl. 72. CAT TELECOM TOWER Bangrak Bangkok Thailand,3
104.106.84.0 - 104.106.87.255,"Akamai International, BV",2
20.192.0.0 - 20.255.255.255,Microsoft Corporation,179
23.200.144.0 - 23.200.159.255,"Akamai International, BV",4
51.91.248.0 - 51.91.255.255,OVH SAS,1
93.43.53.0 - 93.43.53.255,Fastweb Networks block,1
49.12.0.0 - 49.13.255.255,Transferred to the RIPE region on 2018-06-27T02:24:02Z.,28
108.181.0.0 - 108.181.255.255,Psychz Networks,15
45.223.0.0 - 45.223.255.255,Incapsula Inc,33
120.55.0.0 - 120.55.255.255,"Alibaba (US) Technology Co., Ltd.",8
203.254.128.0 - 203.254.159.255 (/19),Jeonbuk National University,8
35.71.64.0 - 35.127.255.255,Amazon Technologies Inc.,12
142.250.0.0 - 142.251.255.255,Google LLC,16
113.32.154.120 - 113.32.154.127,ZEIRISHIHOJIN TOTAL,1
66.130.0.0 - 66.131.255.255,Videotron Ltee,7
65.60.0.0 - 65.60.63.255,SingleHop LLC,8
181.20.0.0/14,Telefonica de Argentina,4
186.202.0.0/16,Locaweb Servi�os de Internet S/A,8
86.207.176.0 - 86.207.183.255,France Telecom,1
13.32.0.0 - 13.33.255.255,"Amazon.com, Inc.",103
191.38.0.0/15,CLARO S.A.,2
192.185.0.0 - 192.185.255.255,WEBSITEWELCOME.COM,61
65.192.0.0 - 65.223.255.255,Verizon Business,5
72.18.128.0 - 72.18.159.255,"Handy Networks, LLC",6
65.0.0.0 - 65.3.255.255,Amazon Data Services India,27
125.252.192.0 - 125.252.255.255,"Akamai Technologies, Inc.",4
104.81.0.0 - 104.81.15.255,"Akamai International, BV",5
88.221.104.0 - 88.221.107.255,Akamai Technologies,1
79.192.0.0 - 79.244.191.255,Deutsche Telekom AG,12
68.32.0.0 - 68.63.255.255,"Comcast Cable Communications, LLC",11
38.148.192.0 - 38.148.255.255,KURUN CLOUD INC,17
46.11.128.0 - 46.11.255.255,GO P.L.C.,1
103.243.175.0 - 103.243.175.255,PhoenixNAP,1
95.68.0.0 - 95.68.127.254,LATTELEKOM,2
85.105.0.0 - 85.105.255.255,TurkTelecom,3
51.210.176.0 - 51.210.183.255,OVH SAS,3
52.208.0.0 - 52.215.255.255,Amazon Data Services Ireland Limited,58
104.206.0.0 - 104.206.255.255,Eonix Corporation,21
114.33.0.0 - 114.33.255.255,Taipei Taiwan,12
88.56.38.176 - 88.56.38.183,INTERBUSINESS,1
54.144.0.0 - 54.221.255.255,Amazon Technologies Inc.,237
189.91.96.0/19,INTERNEXA Brasil Operadora de Telecomunica��es S.A,1
52.84.0.0 - 52.85.255.255,"Amazon.com, Inc.",77
47.32.0.0 - 47.51.255.255,Charter Communications,50
101.200.0.0 - 101.201.255.255,"Alibaba (US) Technology Co., Ltd.",16
75.108.0.0 - 75.111.255.255,Suddenlink Communications,4
154.194.163.0 - 154.194.163.255,Starbow Ltd,1
172.104.0.0 - 172.105.146.255,Linode,42
54.228.0.0 - 54.229.255.255,"Amazon.com, Inc.",4
82.223.196.0 - 82.223.197.255,arsys.es,2
18.130.0.0 - 18.130.255.255,Amazon Data Services UK,6
99.83.64.0 - 99.84.255.255,"Amazon.com, Inc.",16
79.190.203.76 - 79.190.203.79,for abuse: abuse@tpnet.pl,1
41.185.0.0 - 41.185.63.255,1-Grid Route Object,2
153.0.0.0 - 153.255.255.255,Early registration addresses,7
192.81.208.0 - 192.81.223.255,"DigitalOcean, LLC",2
23.56.32.0 - 23.56.63.255,"Akamai International, BV",6
5.172.16.0 - 5.172.19.255,INSYS network,1
108.140.0.0 - 108.143.255.255,Microsoft Corporation,5
69.48.162.0 - 69.48.167.255,"A2 Hosting, Inc.",1
54.200.0.0 - 54.203.255.255,"Amazon.com, Inc.",28
14.32.0.0 - 14.95.255.255,Korea Telecom,57
220.128.135.0 - 220.128.135.255,Taipei Taiwan,1
76.8.96.0 - 76.8.111.255,"StarVision, Inc.",5
149.28.178.0 - 149.28.179.255,"Vultr Holdings, LLC",1
104.140.0.0 - 104.140.255.255,Eonix Corporation,23
150.60.0.0 - 150.60.255.255,KDDI Web Communications Inc.,39
190.144.0.0/14,Telmex Colombia S.A.,10
124.158.0.0 - 124.158.15.255,CMCTELECOM-VN,1
23.43.128.0 - 23.43.143.255,"Akamai International, BV",4
120.24.0.0 - 120.27.255.255,"Alibaba (US) Technology Co., Ltd.",39
216.239.128.0 - 216.239.143.255,"Omnis Network, LLC",9
173.232.255.0 - 173.232.255.255,Infinitie Networks,1
95.58.102.0 - 95.58.103.255,Kazakhtelecom Data Network Administration,1
35.153.0.0 - 35.153.255.255,Amazon Data Services NoVa,10
97.96.0.0 - 97.106.255.255,Charter Communications Inc,12
15.185.0.0 - 15.185.255.255,Amazon Data Services Bahrain,3
217.198.122.0 - 217.198.122.255,ZONER-NET,1
168.188.0.0 - 168.188.255.255,Asia Pacific Network Information Centre,32
35.152.0.0 - 35.183.255.255,Amazon Technologies Inc.,119
151.101.0.0 - 151.101.255.255,"Fastly, Inc.",63
196.51.0.0 - 196.51.255.255,"E-Com Cloud Solution Co., Ltd",72
47.98.0.0 - 47.112.255.255,Asia Pacific Network Information Centre,143
162.33.16.0 - 162.33.31.255,BisectHosting,6
113.160.0.0 - 113.191.255.255,VNPT,19
216.137.176.0 - 216.137.191.255,"A2 Hosting, Inc.",4
72.246.0.0 - 72.247.255.255,"Akamai Technologies, Inc.",52
23.222.0.0 - 23.222.15.255,"Akamai International, BV",2
38.53.0.0 - 38.53.127.255,PEG TECH INC,38
168.119.0.0 - 168.119.255.255,RIPE Network Coordination Centre,21
170.130.211.32 - 170.130.211.63,Virtual Machine Solutions LLC,1
190.167.0.0/16,Compañía Dominicana de Teléfonos S. A.,22
199.101.112.0 - 199.101.115.255,"Conduit USA, Inc.",1
154.84.173.0 - 154.84.173.255,Bunny Technology LLC,1
165.232.32.0 - 165.232.191.255,"DigitalOcean, LLC",15
68.113.128.0 - 68.113.143.255,Charter Communications,1
35.192.0.0 - 35.207.255.255,Google LLC,103
116.228.205.176 - 116.228.205.179,Beiqu Dianxinju Wuxian Chengshi Xiangmuzhu Yianshixianlu,1
108.171.240.0 - 108.171.255.255,Psychz Networks,2
45.89.240.0 - 45.89.241.255,IPXO LIMITED,1
175.184.32.0 - 175.184.47.255,FUJITSU CLOUD TECHNOLOGIES LIMITED,1
104.131.0.0 - 104.131.255.255,"DigitalOcean, LLC",23
120.96.0.0 - 120.127.255.255,Taipei Taiwan 106,30
212.68.61.1 - 212.68.61.255,Labina Bilisim Int ve Bilg. Hizm. San. Tic. Ltd. Sti.,1
65.36.128.0 - 65.36.255.255,"Ntirety, Inc.",12
77.246.98.0 - 77.246.98.255,VDSINA-NET,1
54.192.0.0 - 54.192.255.255,"Amazon.com, Inc.",35
168.221.0.0 - 168.221.255.255,Miami-Dade County Public Schools,80
195.164.128.0 - 195.164.255.255,OSE more specyfic route,5
20.0.0.0 - 20.31.255.255,Microsoft Corporation,99
92.123.48.0 - 92.123.63.255,Akamai Technologies,2
129.175.0.0 - 129.175.255.255,RIPE Network Coordination Centre,1
182.92.0.0 - 182.92.255.255,China Internet Network Information Center,23
1.163.0.0 - 1.163.255.255,Taipei Taiwan,1
188.165.192.0 - 188.165.255.255,"Paris, France",1
45.117.180.0 - 45.117.183.255,Route Object,1
207.246.82.0 - 207.246.83.255,"Vultr Holdings, LLC",2
99.192.128.0 - 99.192.255.255,MOJOHOST,12
141.164.112.0 - 141.164.127.255,LocalTel Communications,1
39.96.0.0 - 39.108.255.255,"Alibaba (US) Technology Co., Ltd.",96
128.199.0.0 - 128.199.255.255,RIPE Network Coordination Centre,22
72.9.144.0 - 72.9.159.255,DFW Datacenter,3
139.104.192.0 - 139.104.223.255,Disney Streaming Services,1
198.2.192.0 - 198.2.255.255,PEG TECH INC,11
84.88.76.0 - 84.88.79.255,Anella Cientifica,1
154.16.82.0 - 154.16.82.255,Digital Energy Technologies Limited,1
23.14.112.0 - 23.14.127.255,"Akamai International, BV",4
216.198.240.128 - 216.198.240.255,"Advanced Online Solutions, Inc.",1
173.232.0.0 - 173.232.255.255,Eonix Corporation,36
59.188.18.128 - 59.188.18.255,New World Telecommunications Limited,1
103.225.168.0 - 103.225.168.255,"CLOUD BUSINESS CO.,LTD. - cloudbusiness.co.th",1
54.208.0.0 - 54.209.255.255,"Amazon.com, Inc.",23
23.2.208.0 - 23.2.223.255,"Akamai International, BV",4
95.101.28.0 - 95.101.31.255,Akamai Technologies,1
163.172.0.0 - 163.172.255.255,Scaleway,8
151.139.0.0 - 151.139.255.255,"StackPath, LLC.",6
96.126.0.0 - 96.126.63.255,NetNet,20
142.58.0.0 - 142.58.255.255,Simon Fraser University,78
154.208.8.0 - 154.208.8.255,CenturyNetworks LTD,1
82.164.203.0 - 82.164.203.255,Telenor Norge AS,1
114.35.0.0 - 114.35.255.255,Taipei Taiwan,11
103.253.202.0 - 103.253.202.255,Threesa Infoway Pvt.Ltd.,1
107.158.0.0 - 107.158.255.255,Eonix Corporation,17
206.213.192.0 - 206.213.255.255,NYLCare Corp.,1
103.12.58.0 - 103.12.58.255,Gemnet Enterprise Solutions Pvt Ltd,1
107.150.32.0 - 107.150.63.255,"Nocix, LLC",5
146.185.0.0 - 146.185.255.255,RIPE Network Coordination Centre,8
138.113.0.0 - 138.113.255.255,Meteverse Limited.,12
173.248.128.0 - 173.248.191.255,"Handy Networks, LLC",4
108.186.0.0 - 108.186.255.255,PEG TECH INC,72
20.160.0.0 - 20.175.255.255,Microsoft Corporation,30
139.104.0.0 - 139.104.255.255,"Disney Worldwide Services, Inc.",1
15.156.0.0 - 15.157.255.255,Amazon Data Services Canada,11
147.127.0.0 - 147.127.255.255,RIPE Network Coordination Centre,19
201.174.0.0/16,"IP Matrix, S.A. de C.V.",4
186.195.96.0/20,MELO TELECOMUNICACOES LTDA,1
81.128.0.0 - 81.143.255.255,BT Public Internet Service,2
194.44.54.0 - 194.44.54.255,UARNET-GEPON-20161219,1
87.98.128.0 - 87.98.191.255,"Paris, France",6
92.123.216.0 - 92.123.219.255,Akamai Technologies,1
141.51.0.0 - 141.51.255.255,Universitaet Kassel,34
137.25.0.0 - 137.27.255.255,Charter Communications,7
84.192.0.0 - 84.195.255.255,TELENET CUSTOMERS,3
91.121.64.0 - 91.121.127.255,"Paris, France",2
192.166.202.0 - 192.166.203.255,Michal Prokopiuk FHU MAJA,1
149.96.0.0 - 149.96.255.255,"SERVICENOW, INC.",32
74.200.96.0 - 74.200.127.255,"Dealertrack, Inc.",1
103.11.212.0 - 103.11.215.255,Hillside (Australia New Media) Pty Ltd,3
143.204.0.0 - 143.204.255.255,"Amazon.com, Inc.",51
164.132.158.0 - 164.132.158.255,OVH SAS,1
216.58.192.0 - 216.58.223.255,Google LLC,5
13.210.0.0 - 13.211.255.255,Amazon Corporate Services Pty Ltd,14
129.144.0.0 - 129.159.255.255,Oracle Corporation,34
45.32.106.0 - 45.32.107.255,"Vultr Holdings, LLC",1
207.184.0.0 - 207.187.255.255,"CDK Global, LLC",2
194.53.114.0 - 194.53.115.255,ISNET W. MISTAK M. MISTAK SPOLKA JAWNA,1
23.105.192.0 - 23.105.223.255,IT7 Networks Inc,4
93.22.0.0 - 93.23.255.255,LDCOM-NET,14
50.117.0.0 - 50.117.127.255,EGIHosting,12
97.82.32.0 - 97.82.63.255,Charter Communications,1
31.136.0.0 - 31.137.255.255,VODAFONE-NL,29
139.196.0.0 - 139.196.255.255,Asia Pacific Network Information Centre,12
195.158.236.0 - 195.158.237.255,XT NETWORK SARL,1
212.170.96.0 - 212.170.111.255,TDENET (Red de servicios IP),1
27.34.128.0 - 27.34.135.255,KDDI Web Communications Inc.,1
216.126.232.0 - 216.126.235.255,"QuickPacket, LLC",1
13.236.0.0 - 13.239.255.255,Amazon Corporate Services Pty Ltd,22
38.153.128.0 - 38.153.255.255,B2 Net Solutions Inc.,29
52.224.0.0 - 52.255.255.255,Microsoft Corporation,55
18.142.0.0 - 18.143.255.255,Amazon Data Services Singapore,21
168.90.0.0 - 168.90.255.255,Latin American and Caribbean IP address Regional Registry,3
162.240.0.0 - 162.241.255.255,Unified Layer,60
67.231.240.0 - 67.231.255.255,Turnkey Internet Inc.,3
